threshold,split,precision,recall,f1,tp,fp,fn
0.3,dev,0.7792642140468228,0.7803516606195925,0.7798075582206108,2796,792,787
0.35,dev,0.7792642140468228,0.7803516606195925,0.7798075582206108,2796,792,787
0.4,dev,0.7792642140468228,0.7803516606195925,0.7798075582206108,2796,792,787
0.45,dev,0.7795429208472687,0.7806307563494278,0.7800864593501604,2797,791,786
0.5,dev,0.7803790412486065,0.7814680435389338,0.7809231627388091,2800,788,783
0.55,dev,0.7795429208472687,0.7806307563494278,0.7800864593501604,2797,791,786
0.6,dev,0.7784898300362217,0.7797934691599219,0.7791411042944785,2794,795,789
0.65,dev,0.778149386845039,0.7792352777002511,0.7786919537024124,2792,796,791
0.7,dev,0.7773132664437012,0.7783979905107452,0.7778552503137638,2789,799,794
0.75,dev,0.775424909445528,0.7767234161317332,0.7760736196319018,2783,806,800
0.8,dev,0.7743103928670939,0.7756070332123919,0.7749581706636921,2779,810,804
0.85,dev,0.7740947075208914,0.7756070332123919,0.7748501324410985,2779,811,804
0.9,dev,0.7738161559888579,0.7753279374825565,0.7745713090757005,2778,812,805
0.5,test_selected_by_dev,0.7694184627897519,0.7765768230948146,0.7729810704071904,5676,1701,1633
